Unnamed: 0,Name,Location,Year,Kilometers_Driven,Owner_Type,Mileage,Engine,Power,Seats,New_Price,Price,Fuel_Type_Diesel,Fuel_Type_Petrol,Transmission_Automatic,Transmission_Manual
111,Maruti Eeco 5 Seater AC,Coimbatore,2017,38053,First,15.1,1196,73.0,5.0,5.13,3.91,0,1,0,1
113,BMW 3 Series 320d Luxury Line,Mumbai,2015,56087,First,22.69,1995,190.0,5.0,54.43,20.75,1,0,1,0
117,Nissan Micra XV CVT,Coimbatore,2016,39882,First,19.15,1198,75.94,5.0,9.51,6.55,0,1,1,0
119,Maruti Vitara Brezza VDi,Mumbai,2016,55000,First,24.3,1248,88.5,5.0,9.96,7.5,1,0,0,1
122,Hyundai Verna CRDi 1.6 SX Option,Kolkata,2018,10250,First,22.0,1582,126.2,5.0,14.44,10.95,1,0,0,1
133,Maruti Alto K10 VXI,Hyderabad,2014,88500,First,24.07,998,67.1,5.0,4.53,2.6,0,1,0,1
134,Mercedes-Benz SLC 43 AMG,Kolkata,2017,13372,First,19.0,2996,362.07,2.0,95.04,54.0,0,1,1,0
135,Hyundai Verna VTVT 1.6 AT SX Plus,Kochi,2019,12645,First,17.0,1591,121.3,5.0,13.49,11.5,0,1,1,0
148,Audi RS5 Coupe,Mumbai,2013,23000,First,11.05,2894,444.0,4.0,1.28,37.0,0,1,1,0
149,BMW 3 Series Luxury Line,Mumbai,2014,48000,First,21.76,1995,190.0,5.0,60.88,26.5,1,0,1,0
173,Hyundai Grand i10 1.2 Kappa Asta,Kolkata,2019,1000,First,18.9,1197,81.86,5.0,7.39,6.5,0,1,0,1
182,BMW 5 Series 520d Luxury Line,Hyderabad,2014,51000,First,22.48,1995,190.0,5.0,69.47,33.5,1,0,1,0
187,Maruti Baleno Alpha,Kochi,2017,24773,First,21.4,1197,83.1,5.0,8.78,7.5,0,1,0,1
193,Maruti Ertiga ZDI,Mumbai,2016,33000,First,25.47,1248,88.5,7.0,12.74,8.5,1,0,0,1
200,Mahindra NuvoSport N6,Chennai,2017,29000,Second,17.45,1493,100.0,7.0,10.52,6.5,1,0,0,1
201,Maruti Vitara Brezza ZDi Plus Dual Tone,Mumbai,2016,20000,First,24.3,1248,88.5,5.0,11.98,9.0,1,0,0,1
210,Honda Amaze S Diesel,Kolkata,2013,45000,First,27.4,1498,98.6,5.0,8.54,3.25,1,0,0,1
219,Skoda Superb Style 1.8 TSI AT,Hyderabad,2017,26000,First,14.67,1798,177.46,5.0,33.58,26.0,0,1,1,0
223,Mahindra Verito 1.5 D4 BSIV,Hyderabad,2013,107000,First,21.03,1461,65.0,5.0,9.12,3.7,1,0,0,1
225,Maruti Wagon R VXI,Kolkata,2013,32000,First,22.5,998,67.04,5.0,5.29,2.65,0,1,0,1
228,Mini Cooper Convertible S,Kochi,2017,26327,First,16.82,1998,189.08,4.0,44.28,35.67,0,1,1,0
235,Toyota Innova Crysta 2.8 GX AT,Kochi,2019,14165,First,11.36,2755,171.5,7.0,20.74,19.64,1,0,1,0
237,Honda City i-VTEC V,Kolkata,2011,32572,First,17.4,1497,117.3,5.0,11.74,3.87,0,1,0,1
256,Toyota Innova Crysta 2.4 ZX MT,Pune,2017,43000,First,13.68,2393,147.8,7.0,25.52,18.65,1,0,0,1
261,Hyundai Verna CRDi 1.6 SX,Hyderabad,2008,143275,First,22.0,1582,126.2,5.0,14.07,2.6,1,0,0,1
264,Mercedes-Benz GLE 350d,Coimbatore,2017,29819,First,11.57,2987,254.79,5.0,95.13,61.29,1,0,1,0
277,Tata Zest Quadrajet 1.3 75PS XE,Pune,2017,121900,First,22.95,1248,74.0,5.0,8.34,3.75,1,0,0,1
290,Tata Zest Quadrajet 1.3 75PS XE,Pune,2018,45000,First,22.95,1248,74.0,5.0,8.34,5.25,1,0,0,1
293,Honda Jazz VX,Delhi,2015,62178,First,18.2,1199,88.7,5.0,8.85,4.85,0,1,0,1
298,Toyota Innova Crysta 2.4 ZX MT,Chennai,2016,48000,First,13.68,2393,147.8,7.0,25.4,20.25,1,0,0,1
303,Honda City i-VTEC CVT ZX,Mumbai,2017,15000,First,18.0,1497,117.3,5.0,16.67,12.69,0,1,1,0
310,Mercedes-Benz GLE 250d,Hyderabad,2017,29000,First,17.9,2143,201.15,5.0,79.43,57.0,1,0,1,0
314,Honda Brio 1.2 VX MT,Kochi,2012,91931,First,18.5,1198,86.8,5.0,6.62,3.13,0,1,0,1
327,Audi Q7 45 TDI Quattro Technology,Coimbatore,2017,97430,First,14.75,2967,245.0,7.0,1.04,62.67,1,0,1,0
343,Maruti Vitara Brezza LDi,Chennai,2016,45000,First,24.3,1248,88.5,5.0,9.12,7.15,1,0,0,1
348,BMW 3 Series Luxury Line,Kochi,2015,30717,Second,21.76,1995,190.0,5.0,58.67,25.99,1,0,1,0
351,Skoda Octavia RS,Jaipur,2005,100000,First,14.45,1984,227.0,5.0,28.37,2.05,0,1,1,0
352,Maruti Alto K10 VXI,Pune,2017,30000,First,24.07,998,67.1,5.0,4.48,3.75,0,1,0,1
355,Jaguar XF 2.0 Diesel Portfolio,Hyderabad,2017,21000,First,19.33,1999,177.0,5.0,72.64,52.0,1,0,1,0
357,Skoda Superb L&K 1.8 TSI AT,Kochi,2019,13747,First,14.67,1798,177.46,5.0,36.15,27.3,0,1,1,0
365,Mini Clubman Cooper S,Pune,2017,8350,First,13.8,1998,192.0,5.0,44.59,35.0,0,1,0,1
372,Maruti Vitara Brezza ZDi Plus,Hyderabad,2017,39000,First,24.3,1248,88.5,5.0,12.0,9.49,1,0,0,1
380,Honda BRV i-VTEC V CVT,Kochi,2017,35676,First,16.0,1497,117.3,7.0,14.65,9.48,0,1,1,0
389,Jaguar XE Portfolio,Mumbai,2017,9000,First,13.5,1999,246.74,5.0,53.72,34.5,0,1,1,0
401,Mitsubishi Pajero Sport 4X2 AT DualTone BlackTop,Hyderabad,2018,12000,First,13.5,2477,175.56,7.0,33.91,28.0,1,0,1,0
413,BMW 3 Series Luxury Line,Mumbai,2015,41000,First,21.76,1995,190.0,5.0,60.88,25.5,1,0,1,0
414,Honda BR-V i-VTEC S MT,Pune,2017,9000,First,15.4,1497,117.3,7.0,12.51,8.5,0,1,0,1
417,Hyundai i20 Active SX Petrol,Jaipur,2017,40250,First,17.19,1197,81.86,5.0,9.74,6.9,0,1,0,1
418,Mercedes-Benz GLC 43 AMG Coupe,Coimbatore,2018,22397,First,11.5,2996,367.0,5.0,95.38,70.99,0,1,1,0
423,Audi A6 35 TFSI Matrix,Mumbai,2016,47000,First,15.26,1798,187.74,5.0,60.59,24.5,0,1,1,0
427,Mini Cooper Convertible S,Mumbai,2014,11900,First,16.82,1998,189.08,4.0,44.28,28.5,0,1,1,0
442,Mahindra Bolero ZLX,Coimbatore,2016,82756,First,15.96,2523,62.1,7.0,11.28,7.7,1,0,0,1
446,Volkswagen Vento 1.6 Comfortline,Mumbai,2017,15000,Second,16.09,1598,103.5,5.0,11.48,7.1,0,1,0,1
456,Maruti S-Cross Delta DDiS 200 SH,Delhi,2018,12923,First,25.1,1248,88.5,5.0,11.26,8.92,1,0,0,1
457,Audi Q3 35 TDI Quattro Premium Plus,Coimbatore,2016,86642,First,15.17,1968,181.0,5.0,43.65,20.37,1,0,1,0
458,BMW 3 Series Luxury Line,Bangalore,2016,19235,First,21.76,1995,190.0,5.0,62.07,36.5,1,0,1,0
473,Mercedes-Benz E-Class E 220 d,Kochi,2018,26405,First,12.6,1950,191.34,5.0,86.97,51.43,0,1,1,0
489,Mercedes-Benz GLS 350d 4MATIC,Pune,2017,129000,First,11.0,2987,258.0,7.0,1.0,56.0,1,0,1,0
518,Maruti Wagon R LXI,Ahmedabad,2012,30000,First,22.5,998,67.04,5.0,4.74,3.3,0,1,0,1
519,Hyundai Creta 1.6 SX,Chennai,2016,69434,First,15.8,1591,121.3,5.0,14.84,8.0,0,1,0,1
544,Mercedes-Benz New C-Class Progressive C 200,Kochi,2019,13190,First,0.0,1950,181.43,5.0,49.49,38.99,0,1,1,0
549,BMW X1 sDrive 20d xLine,Coimbatore,2017,31645,First,20.68,1995,190.0,5.0,48.18,29.4,1,0,1,0
555,Maruti Ertiga ZDI,Pune,2013,105000,Second,25.47,1248,88.5,7.0,12.34,6.75,1,0,0,1
558,Skoda Rapid 1.5 TDI Style,Hyderabad,2017,31000,First,21.13,1498,108.4,5.0,15.38,10.5,1,0,0,1
562,Toyota Innova Crysta 2.8 GX AT,Ahmedabad,2016,100200,First,11.36,2755,171.5,7.0,19.21,17.0,1,0,1,0
568,Jeep Compass 2.0 Limited,Jaipur,2018,29000,First,17.1,1956,170.0,5.0,22.95,19.0,1,0,0,1
573,Mahindra Bolero ZLX,Jaipur,2012,105000,Second,15.96,2523,62.1,7.0,11.15,6.0,1,0,0,1
578,Volkswagen Polo 1.5 TDI Highline,Coimbatore,2018,33558,First,20.14,1498,88.0,5.0,10.32,8.12,1,0,0,1
599,Toyota Innova Crysta 2.8 ZX AT,Coimbatore,2019,40674,First,11.36,2755,171.5,7.0,28.05,24.82,1,0,1,0
603,Mercedes-Benz GLC 220d 4MATIC Style,Mumbai,2018,10003,First,17.9,2143,170.0,5.0,59.77,48.5,1,0,1,0
604,Volkswagen Vento 1.5 TDI Highline AT,Mumbai,2016,25000,First,21.5,1498,108.5,5.0,15.86,9.45,1,0,1,0
615,Toyota Innova Crysta 2.4 GX MT 8S,Hyderabad,2017,52000,First,13.68,2393,147.8,8.0,19.43,17.5,1,0,0,1
618,Maruti Vitara Brezza ZDi,Pune,2016,21558,First,24.3,1248,88.5,5.0,10.65,8.9,1,0,0,1
632,Mini Cooper 5 DOOR D,Mumbai,2016,11000,First,20.7,1496,113.98,5.0,42.12,29.5,1,0,1,0
635,Tata Safari Storme VX Varicor 400,Jaipur,2017,37000,First,14.1,2179,154.0,7.0,16.95,11.25,1,0,0,1
636,Honda BR-V i-DTEC VX MT,Kochi,2017,32249,First,21.9,1498,98.6,7.0,15.45,10.79,1,0,0,1
639,Maruti Ignis 1.2 Alpha,Mumbai,2017,7000,First,20.89,1197,81.8,5.0,7.87,5.7,0,1,0,1
654,Maruti Alto K10 VXI,Bangalore,2011,64357,First,24.07,998,67.1,5.0,4.7,2.75,0,1,0,1
657,Honda BRV i-VTEC V CVT,Mumbai,2017,18000,First,16.0,1497,117.3,7.0,15.02,9.25,0,1,1,0
668,Maruti Vitara Brezza ZDi Plus Dual Tone,Coimbatore,2017,18108,First,24.3,1248,88.5,5.0,12.56,11.31,1,0,0,1
671,Nissan Sunny XV CVT,Kochi,2013,37199,First,17.5,1498,99.6,5.0,11.33,5.43,0,1,1,0
697,Toyota Innova Crysta 2.4 ZX MT,Bangalore,2017,64798,First,13.68,2393,147.8,7.0,26.45,18.75,1,0,0,1
714,Maruti Dzire AMT ZXI Plus,Hyderabad,2017,13000,First,22.0,1197,81.8,5.0,10.34,8.5,0,1,1,0
731,Hyundai Grand i10 1.2 CRDi Magna,Kolkata,2017,14000,First,24.0,1186,73.97,5.0,7.46,4.9,1,0,0,1
732,Honda City i-VTEC V,Delhi,2014,55818,Second,17.4,1497,117.3,5.0,11.85,5.7,0,1,0,1
741,Maruti Ertiga VDI,Ahmedabad,2017,63939,First,25.47,1248,88.5,7.0,10.41,7.75,1,0,0,1
742,Maruti Celerio VXI AMT,Delhi,2014,35214,Second,23.1,998,67.04,5.0,5.57,3.2,0,1,1,0
746,Mini Cooper 5 DOOR D,Hyderabad,2014,60000,Second,20.7,1496,113.98,5.0,42.48,23.5,1,0,1,0
750,Honda City i-VTEC CVT VX,Bangalore,2015,18955,First,18.0,1497,117.3,5.0,16.04,10.65,0,1,1,0
756,Honda Jazz VX,Kochi,2018,20024,First,18.2,1199,88.7,5.0,9.1,8.46,0,1,0,1
762,Ford Figo Titanium Diesel,Kolkata,2015,72035,First,25.5,1498,99.0,5.0,7.65,2.5,1,0,0,1
784,Hyundai Creta 1.6 SX,Ahmedabad,2016,21000,First,15.8,1591,121.3,5.0,13.74,10.9,0,1,0,1
791,Maruti Wagon R VXI,Coimbatore,2015,72599,First,22.5,998,67.04,5.0,5.72,4.32,0,1,0,1
796,Mahindra XUV500 W9 AT,Coimbatore,2019,19654,First,14.0,2179,155.0,7.0,21.33,17.63,1,0,1,0
802,Mercedes-Benz GLE 250d,Mumbai,2016,21000,First,17.9,2143,201.15,5.0,78.76,56.0,1,0,1,0
809,Honda Amaze VX Diesel,Hyderabad,2018,12000,First,27.4,1498,98.6,5.0,10.34,8.5,1,0,0,1
813,Maruti Alto K10 LXI,Pune,2014,49000,First,24.07,998,67.1,5.0,4.29,2.3,0,1,0,1
825,Volkswagen Ameo 1.5 TDI Highline,Mumbai,2017,51000,First,21.66,1498,108.62,5.0,10.04,6.45,1,0,0,1
838,Mahindra Xylo H4,Chennai,2016,215000,First,14.02,2179,118.3,7.0,11.67,7.5,1,0,0,1
850,Toyota Innova Crysta 2.4 ZX MT,Pune,2017,43200,First,13.68,2393,147.8,7.0,25.52,18.6,1,0,0,1
869,Hyundai Xcent 1.2 CRDi S,Jaipur,2018,25302,First,25.4,1186,73.97,5.0,8.56,5.9,1,0,0,1
875,Toyota Innova Crysta 2.8 ZX AT,Kochi,2018,41736,First,11.36,2755,171.5,7.0,27.0,19.92,1,0,1,0
878,Renault KWID 1.0 RXT Optional,Jaipur,2017,63262,First,21.7,999,67.0,5.0,4.78,3.25,0,1,0,1
880,Maruti Celerio VXI Optional AMT,Pune,2017,7500,First,23.1,998,67.04,5.0,6.14,5.0,0,1,1,0
884,Maruti Dzire VXI,Kolkata,2011,46687,First,22.0,1197,81.8,5.0,7.3,2.7,0,1,0,1
897,Datsun redi-GO T Option,Bangalore,2016,20487,First,22.7,799,53.64,5.0,4.37,2.66,0,1,0,1
912,Maruti Eeco 7 Seater Standard,Coimbatore,2012,56661,First,15.1,1196,73.0,7.0,4.98,3.61,0,1,0,1
919,Honda City i-VTEC CVT VX,Mumbai,2015,30000,First,18.0,1497,117.3,5.0,15.29,8.65,0,1,1,0
940,Jeep Compass 2.0 Limited 4X4,Mumbai,2017,52000,First,16.3,1956,170.0,5.0,24.26,20.0,1,0,0,1
941,Land Rover Range Rover Evoque 2.0 TD4 HSE Dynamic,Kochi,2018,31427,First,15.68,1999,177.0,5.0,75.12,59.72,1,0,1,0
942,Maruti Baleno Alpha Diesel,Kolkata,2016,29000,First,27.39,1248,74.0,5.0,9.53,6.5,1,0,0,1
946,Mitsubishi Pajero Sport 4X4,Bangalore,2013,132000,First,13.5,2477,175.56,7.0,34.6,12.49,1,0,0,1
952,Toyota Innova Crysta 2.4 ZX MT,Coimbatore,2018,92056,First,13.68,2393,147.8,7.0,26.45,18.39,1,0,0,1
954,Honda Jazz VX Diesel,Mumbai,2016,38000,First,27.3,1498,98.6,5.0,11.15,6.21,1,0,0,1
962,Mercedes-Benz C-Class Progressive C 220d,Mumbai,2018,8682,First,0.0,1950,194.0,5.0,52.26,39.5,1,0,1,0
984,BMW 5 Series 520d Luxury Line,Mumbai,2012,61240,First,22.48,1995,190.0,5.0,70.43,17.5,1,0,1,0
1001,Renault KWID RXT Optional,Hyderabad,2018,1900,First,25.17,799,53.3,5.0,4.8,4.45,0,1,0,1
1010,Ford Ecosport Signature Edition Diesel,Coimbatore,2019,23154,First,23.0,1498,98.96,5.0,12.12,11.65,1,0,0,1
1012,Toyota Innova Crysta 2.4 GX MT,Chennai,2017,67489,First,13.68,2393,147.8,7.0,19.37,16.5,1,0,0,1
1017,Volkswagen Vento 1.5 TDI Comfortline,Coimbatore,2014,56658,First,20.64,1498,108.5,5.0,12.14,5.39,1,0,0,1
1030,Toyota Fortuner 2.8 4WD MT,Kochi,2013,105072,First,14.24,2755,174.5,7.0,36.69,13.28,1,0,0,1
1039,Jeep Compass 1.4 Limited Option,Mumbai,2017,4000,First,16.0,1368,160.0,5.0,23.68,17.75,0,1,1,0
1044,Audi A4 35 TDI Technology,Hyderabad,2015,45000,First,18.25,1968,187.74,5.0,55.61,25.0,1,0,1,0
1050,Ford EcoSport 1.5 Petrol Titanium Plus AT,Coimbatore,2018,18385,First,14.8,1497,121.36,5.0,14.1,12.41,0,1,1,0
1056,Maruti S-Cross Zeta DDiS 200 SH,Coimbatore,2016,74611,First,25.1,1248,88.5,5.0,13.26,7.94,1,0,0,1
1065,Toyota Innova Crysta 2.8 ZX AT,Bangalore,2016,108000,First,11.36,2755,171.5,7.0,28.05,20.5,1,0,1,0
1072,Maruti Ertiga VDI,Pune,2016,130000,First,25.47,1248,88.5,7.0,11.27,7.0,1,0,0,1
1077,Maruti Vitara Brezza ZDi Plus,Kochi,2019,34688,First,24.3,1248,88.5,5.0,11.2,10.49,1,0,0,1
1080,Tata Zest Revotron 1.2 XT,Mumbai,2014,40000,First,17.57,1193,88.7,5.0,8.56,3.95,0,1,0,1
1094,Maruti Vitara Brezza VDi,Kolkata,2017,35000,First,24.3,1248,88.5,5.0,9.46,6.5,1,0,0,1
1096,Mahindra XUV300 W8 Diesel,Chennai,2012,97000,First,20.0,1497,115.0,5.0,12.79,7.25,1,0,0,1
1097,Hyundai Verna CRDi 1.6 SX Option,Kochi,2014,89614,First,22.0,1582,126.2,5.0,15.57,6.01,1,0,0,1
1103,Tata Hexa XT,Delhi,2017,55000,First,17.6,2179,153.86,7.0,19.86,12.0,1,0,0,1
1110,Tata Tiago 1.2 Revotron XZ,Coimbatore,2018,9565,First,23.84,1199,84.0,5.0,6.59,5.88,0,1,0,1
1113,Mercedes-Benz E-Class E 220 d,Kochi,2018,20446,First,12.6,1950,191.34,5.0,86.97,51.35,0,1,1,0
1117,Mini Cooper 5 DOOR D,Ahmedabad,2014,34000,First,20.7,1496,113.98,5.0,42.12,22.0,1,0,1,0
1139,Hyundai Grand i10 1.2 Kappa Magna,Delhi,2017,8471,First,18.9,1197,81.86,5.0,6.54,5.0,0,1,0,1
1140,Toyota Innova Crysta 2.8 ZX AT,Hyderabad,2016,69000,First,11.36,2755,171.5,7.0,26.56,19.75,1,0,1,0
1141,Renault Duster 110PS Diesel RxZ AMT,Coimbatore,2017,30090,First,19.6,1461,108.45,5.0,15.05,11.44,1,0,1,0
1146,Mahindra Bolero ZLX,Mumbai,2016,40448,First,15.96,2523,62.1,7.0,11.01,3.5,1,0,0,1
1147,Maruti Vitara Brezza ZDi,Coimbatore,2018,64456,First,24.3,1248,88.5,5.0,11.0,10.46,1,0,0,1
1149,Honda Amaze S Petrol,Kochi,2016,51672,First,19.5,1199,88.76,5.0,7.55,5.68,0,1,0,1
1157,Hyundai Grand i10 1.2 Kappa Asta,Hyderabad,2017,20000,First,18.9,1197,81.86,5.0,7.82,5.98,0,1,0,1
1159,Hyundai Grand i10 1.2 Kappa Magna,Kochi,2018,50234,First,18.9,1197,81.86,5.0,6.32,4.77,0,1,0,1
1187,Hyundai Verna VTVT 1.6 AT SX Option,Mumbai,2015,40600,First,17.0,1591,121.3,5.0,15.14,7.2,0,1,1,0
1188,Hyundai Verna CRDi 1.6 AT SX Option,Ahmedabad,2013,87000,First,22.0,1582,126.2,5.0,15.72,5.9,1,0,1,0
1192,Volvo S60 D4 Momentum,Hyderabad,2015,51000,First,27.03,1969,190.0,5.0,45.67,25.0,1,0,1,0
1195,BMW 3 Series 320d Luxury Line,Chennai,2012,65000,First,22.69,1995,190.0,5.0,54.7,14.0,1,0,1,0
1197,Toyota Innova Crysta 2.4 VX MT,Hyderabad,2017,24393,First,13.68,2393,147.8,7.0,22.87,20.4,1,0,0,1
1198,Volkswagen Polo 1.0 MPI Trendline,Hyderabad,2019,1000,First,18.78,999,75.0,5.0,6.74,5.68,0,1,0,1
1200,Mitsubishi Pajero Sport 4X4,Mumbai,2013,59000,First,13.5,2477,175.56,7.0,33.09,12.75,1,0,0,1
1226,Toyota Corolla Altis 1.8 VL CVT,Delhi,2017,21000,First,14.28,1798,138.03,5.0,23.25,18.0,0,1,1,0
1230,Toyota Corolla Altis 1.4 DG,Ahmedabad,2012,52000,First,21.43,1364,86.79,5.0,19.27,6.5,1,0,0,1
1242,Jaguar XE 2.0L Diesel Prestige,Delhi,2018,1000,First,13.6,1999,177.0,5.0,52.77,40.0,1,0,1,0
1243,Mahindra Xylo D4,Chennai,2016,85000,First,14.95,2489,93.7,7.0,11.67,6.15,1,0,0,1
1247,Maruti Swift VDI,Kochi,2017,34613,First,28.4,1248,74.0,5.0,7.92,6.24,1,0,0,1
1256,Hyundai Xcent 1.2 VTVT S,Bangalore,2014,54000,First,20.14,1197,81.86,5.0,7.85,5.5,0,1,0,1
1270,Honda City i-VTEC CVT VX,Kochi,2018,22974,First,18.0,1497,117.3,5.0,15.55,11.97,0,1,1,0
1272,Toyota Fortuner 2.8 2WD MT,Ahmedabad,2015,65012,First,14.24,2755,174.5,7.0,32.45,18.9,1,0,0,1
1274,Maruti Eeco 7 Seater Standard,Hyderabad,2015,90413,First,15.1,1196,73.0,7.0,4.83,2.95,0,1,0,1
1301,Maruti Swift LDI,Mumbai,2015,14000,First,28.4,1248,74.0,5.0,7.13,5.25,1,0,0,1
1303,BMW 5 Series 520d Luxury Line,Coimbatore,2012,44450,First,22.48,1995,190.0,5.0,71.82,24.68,1,0,1,0
1305,BMW X1 M Sport sDrive 20d,Mumbai,2016,31000,First,17.05,1995,190.0,5.0,50.97,29.5,1,0,1,0
1313,Hyundai Verna CRDi 1.4 E,Chennai,2008,121097,Second,24.0,1396,88.76,5.0,10.73,1.9,1,0,0,1
1317,Fiat Linea Classic Plus 1.3 Multijet,Jaipur,2013,86000,Second,19.5,1248,75.0,5.0,9.5,2.5,1,0,0,1
1320,BMW 3 Series 320d Luxury Line,Kochi,2013,37613,First,22.69,1995,190.0,5.0,52.46,13.95,1,0,1,0
1324,Maruti Ignis 1.2 Delta,Coimbatore,2019,16862,First,20.89,1197,81.8,5.0,6.07,6.06,0,1,0,1
1336,Audi Q7 45 TDI Quattro Technology,Mumbai,2016,20002,First,14.75,2967,245.0,7.0,1.04,67.0,1,0,1,0
1362,Maruti Alto K10 VXI,Kolkata,2018,2100,First,24.07,998,67.1,5.0,4.33,3.6,0,1,0,1
1363,Hyundai Grand i10 1.2 Kappa Sportz AT,Coimbatore,2018,20667,First,18.9,1197,81.86,5.0,8.63,7.55,0,1,1,0
1368,Hyundai Grand i10 1.2 Kappa Sportz,Kochi,2019,18453,First,18.9,1197,81.86,5.0,6.68,6.17,0,1,0,1
1369,Hyundai Verna CRDi 1.6 SX,Hyderabad,2008,96578,First,22.0,1582,126.2,5.0,14.07,2.5,1,0,0,1
1381,Renault Duster 110PS Diesel RxZ AMT,Bangalore,2016,45000,First,19.6,1461,108.45,5.0,15.05,11.5,1,0,1,0
1393,Hyundai Grand i10 1.2 Kappa Magna AT,Bangalore,2018,3000,First,18.9,1197,81.86,5.0,7.98,6.2,0,1,1,0
1407,Toyota Innova Crysta 2.8 ZX AT,Kolkata,2016,66618,First,11.36,2755,171.5,7.0,24.82,15.49,1,0,1,0
1412,Tata Zest Revotron 1.2T XM,Mumbai,2016,43706,First,17.57,1193,88.7,5.0,7.63,4.0,0,1,0,1
1427,Toyota Innova Crysta 2.4 VX MT,Kochi,2018,8899,First,13.68,2393,147.8,7.0,22.86,19.92,1,0,0,1
1437,Ford EcoSport 1.5 Petrol Titanium,Pune,2018,17000,First,17.0,1497,121.36,5.0,11.06,9.2,0,1,0,1
1443,Maruti Alto K10 VXI,Hyderabad,2016,10000,First,24.07,998,67.1,5.0,4.53,3.5,0,1,0,1
1455,Toyota Corolla Altis 1.8 G,Mumbai,2010,93000,First,14.28,1798,138.03,5.0,19.39,4.5,0,1,0,1
1472,Hyundai Elantra 2.0 SX Option AT,Delhi,2017,9500,First,14.62,1999,149.92,5.0,21.77,16.35,0,1,1,0
1490,Hyundai Creta 1.6 SX Automatic Diesel,Chennai,2016,55000,First,17.6,1582,126.2,5.0,18.35,12.5,1,0,1,0
1494,Volkswagen Ameo 1.5 TDI Comfortline,Jaipur,2016,58095,First,21.66,1498,108.62,5.0,9.19,5.8,1,0,0,1
1495,Tata Zest Revotron 1.2 XT,Kolkata,2015,7445,First,17.57,1193,88.7,5.0,8.09,5.0,0,1,0,1
1497,Toyota Corolla Altis 1.8 VL CVT,Kochi,2018,28321,First,14.28,1798,138.03,5.0,23.25,17.49,0,1,1,0
1505,Land Rover Range Rover Sport SE,Kochi,2019,26013,First,12.65,2993,255.0,5.0,1.39,97.07,1,0,1,0
1519,Maruti Dzire AMT ZDI Plus,Hyderabad,2017,28226,First,28.4,1248,73.75,5.0,11.52,9.15,1,0,1,0
1525,Ford EcoSport 1.5 Diesel Titanium Plus,Chennai,2016,29200,First,23.0,1498,98.96,5.0,13.23,7.7,1,0,0,1
1529,Tata Zest Quadrajet 1.3 XT,Coimbatore,2018,38310,First,20.65,1248,88.7,5.0,10.06,6.69,1,0,0,1
1531,Skoda Rapid 1.5 TDI AT Style,Kolkata,2017,31300,First,21.72,1498,108.4,5.0,15.34,10.5,1,0,1,0
1532,Toyota Innova Crysta 2.4 VX MT 8S,Coimbatore,2019,11241,First,13.68,2393,147.8,8.0,24.01,22.55,1,0,0,1
1542,Mahindra Thar CRDe,Jaipur,2016,19000,First,16.55,2498,105.0,6.0,11.39,9.25,1,0,0,1
