Unnamed: 0,Name,Location,Year,Kilometers_Driven,Fuel_Type,Transmission,Owner_Type,Mileage,Engine,Power,Seats,New_Price,Price
200,Mahindra NuvoSport N6,Chennai,2017,29000,Diesel,Manual,Second,17.45 kmpl,1493 CC,100 bhp,7.0,10.52 Lakh,6.5
201,Maruti Vitara Brezza ZDi Plus Dual Tone,Mumbai,2016,20000,Diesel,Manual,First,24.3 kmpl,1248 CC,88.5 bhp,5.0,11.98 Lakh,9.0
210,Honda Amaze S Diesel,Kolkata,2013,45000,Diesel,Manual,First,27.4 kmpl,1498 CC,98.6 bhp,5.0,8.54 Lakh,3.25
219,Skoda Superb Style 1.8 TSI AT,Hyderabad,2017,26000,Petrol,Automatic,First,14.67 kmpl,1798 CC,177.46 bhp,5.0,33.58 Lakh,26.0
223,Mahindra Verito 1.5 D4 BSIV,Hyderabad,2013,107000,Diesel,Manual,First,21.03 kmpl,1461 CC,65 bhp,5.0,9.12 Lakh,3.7
225,Maruti Wagon R VXI,Kolkata,2013,32000,Petrol,Manual,First,22.5 kmpl,998 CC,67.04 bhp,5.0,5.29 Lakh,2.65
228,Mini Cooper Convertible S,Kochi,2017,26327,Petrol,Automatic,First,16.82 kmpl,1998 CC,189.08 bhp,4.0,44.28 Lakh,35.67
235,Toyota Innova Crysta 2.8 GX AT,Kochi,2019,14165,Diesel,Automatic,First,11.36 kmpl,2755 CC,171.5 bhp,7.0,20.74 Lakh,19.64
237,Honda City i-VTEC V,Kolkata,2011,32572,Petrol,Manual,First,17.4 kmpl,1497 CC,117.3 bhp,5.0,11.74 Lakh,3.87
256,Toyota Innova Crysta 2.4 ZX MT,Pune,2017,43000,Diesel,Manual,First,13.68 kmpl,2393 CC,147.8 bhp,7.0,25.52 Lakh,18.65
261,Hyundai Verna CRDi 1.6 SX,Hyderabad,2008,143275,Diesel,Manual,First,22.0 kmpl,1582 CC,126.2 bhp,5.0,14.07 Lakh,2.6
264,Mercedes-Benz GLE 350d,Coimbatore,2017,29819,Diesel,Automatic,First,11.57 kmpl,2987 CC,254.79 bhp,5.0,95.13 Lakh,61.29
277,Tata Zest Quadrajet 1.3 75PS XE,Pune,2017,121900,Diesel,Manual,First,22.95 kmpl,1248 CC,74 bhp,5.0,8.34 Lakh,3.75
290,Tata Zest Quadrajet 1.3 75PS XE,Pune,2018,45000,Diesel,Manual,First,22.95 kmpl,1248 CC,74 bhp,5.0,8.34 Lakh,5.25
293,Honda Jazz VX,Delhi,2015,62178,Petrol,Manual,First,18.2 kmpl,1199 CC,88.7 bhp,5.0,8.85 Lakh,4.85
298,Toyota Innova Crysta 2.4 ZX MT,Chennai,2016,48000,Diesel,Manual,First,13.68 kmpl,2393 CC,147.8 bhp,7.0,25.4 Lakh,20.25
303,Honda City i-VTEC CVT ZX,Mumbai,2017,15000,Petrol,Automatic,First,18.0 kmpl,1497 CC,117.3 bhp,5.0,16.67 Lakh,12.69
310,Mercedes-Benz GLE 250d,Hyderabad,2017,29000,Diesel,Automatic,First,17.9 kmpl,2143 CC,201.15 bhp,5.0,79.43 Lakh,57.0
314,Honda Brio 1.2 VX MT,Kochi,2012,91931,Petrol,Manual,First,18.5 kmpl,1198 CC,86.8 bhp,5.0,6.62 Lakh,3.13
327,Audi Q7 45 TDI Quattro Technology,Coimbatore,2017,97430,Diesel,Automatic,First,14.75 kmpl,2967 CC,245 bhp,7.0,1.04 Cr,62.67
343,Maruti Vitara Brezza LDi,Chennai,2016,45000,Diesel,Manual,First,24.3 kmpl,1248 CC,88.5 bhp,5.0,9.12 Lakh,7.15
348,BMW 3 Series Luxury Line,Kochi,2015,30717,Diesel,Automatic,Second,21.76 kmpl,1995 CC,190 bhp,5.0,58.67 Lakh,25.99
351,Skoda Octavia RS,Jaipur,2005,100000,Petrol,Automatic,First,14.45 kmpl,1984 CC,227 bhp,5.0,28.37 Lakh,2.05
352,Maruti Alto K10 VXI,Pune,2017,30000,Petrol,Manual,First,24.07 kmpl,998 CC,67.1 bhp,5.0,4.48 Lakh,3.75
355,Jaguar XF 2.0 Diesel Portfolio,Hyderabad,2017,21000,Diesel,Automatic,First,19.33 kmpl,1999 CC,177 bhp,5.0,72.64 Lakh,52.0
357,Skoda Superb L&K 1.8 TSI AT,Kochi,2019,13747,Petrol,Automatic,First,14.67 kmpl,1798 CC,177.46 bhp,5.0,36.15 Lakh,27.3
365,Mini Clubman Cooper S,Pune,2017,8350,Petrol,Manual,First,13.8 kmpl,1998 CC,192 bhp,5.0,44.59 Lakh,35.0
372,Maruti Vitara Brezza ZDi Plus,Hyderabad,2017,39000,Diesel,Manual,First,24.3 kmpl,1248 CC,88.5 bhp,5.0,12 Lakh,9.49
380,Honda BRV i-VTEC V CVT,Kochi,2017,35676,Petrol,Automatic,First,16.0 kmpl,1497 CC,117.3 bhp,7.0,14.65 Lakh,9.48
389,Jaguar XE Portfolio,Mumbai,2017,9000,Petrol,Automatic,First,13.5 kmpl,1999 CC,246.74 bhp,5.0,53.72 Lakh,34.5
401,Mitsubishi Pajero Sport 4X2 AT DualTone BlackTop,Hyderabad,2018,12000,Diesel,Automatic,First,13.5 kmpl,2477 CC,175.56 bhp,7.0,33.91 Lakh,28.0
413,BMW 3 Series Luxury Line,Mumbai,2015,41000,Diesel,Automatic,First,21.76 kmpl,1995 CC,190 bhp,5.0,60.88 Lakh,25.5
414,Honda BR-V i-VTEC S MT,Pune,2017,9000,Petrol,Manual,First,15.4 kmpl,1497 CC,117.3 bhp,7.0,12.51 Lakh,8.5
417,Hyundai i20 Active SX Petrol,Jaipur,2017,40250,Petrol,Manual,First,17.19 kmpl,1197 CC,81.86 bhp,5.0,9.74 Lakh,6.9
418,Mercedes-Benz GLC 43 AMG Coupe,Coimbatore,2018,22397,Petrol,Automatic,First,11.5 kmpl,2996 CC,367 bhp,5.0,95.38 Lakh,70.99
423,Audi A6 35 TFSI Matrix,Mumbai,2016,47000,Petrol,Automatic,First,15.26 kmpl,1798 CC,187.74 bhp,5.0,60.59 Lakh,24.5
427,Mini Cooper Convertible S,Mumbai,2014,11900,Petrol,Automatic,First,16.82 kmpl,1998 CC,189.08 bhp,4.0,44.28 Lakh,28.5
442,Mahindra Bolero ZLX,Coimbatore,2016,82756,Diesel,Manual,First,15.96 kmpl,2523 CC,62.1 bhp,7.0,11.28 Lakh,7.7
446,Volkswagen Vento 1.6 Comfortline,Mumbai,2017,15000,Petrol,Manual,Second,16.09 kmpl,1598 CC,103.5 bhp,5.0,11.48 Lakh,7.1
456,Maruti S-Cross Delta DDiS 200 SH,Delhi,2018,12923,Diesel,Manual,First,25.1 kmpl,1248 CC,88.5 bhp,5.0,11.26 Lakh,8.92
457,Audi Q3 35 TDI Quattro Premium Plus,Coimbatore,2016,86642,Diesel,Automatic,First,15.17 kmpl,1968 CC,181 bhp,5.0,43.65 Lakh,20.37
458,BMW 3 Series Luxury Line,Bangalore,2016,19235,Diesel,Automatic,First,21.76 kmpl,1995 CC,190 bhp,5.0,62.07 Lakh,36.5
473,Mercedes-Benz E-Class E 220 d,Kochi,2018,26405,Petrol,Automatic,First,12.6 kmpl,1950 CC,191.34 bhp,5.0,86.97 Lakh,51.43
489,Mercedes-Benz GLS 350d 4MATIC,Pune,2017,129000,Diesel,Automatic,First,11.0 kmpl,2987 CC,258 bhp,7.0,1 Cr,56.0
518,Maruti Wagon R LXI,Ahmedabad,2012,30000,Petrol,Manual,First,22.5 kmpl,998 CC,67.04 bhp,5.0,4.74 Lakh,3.3
519,Hyundai Creta 1.6 SX,Chennai,2016,69434,Petrol,Manual,First,15.8 kmpl,1591 CC,121.3 bhp,5.0,14.84 Lakh,8.0
544,Mercedes-Benz New C-Class Progressive C 200,Kochi,2019,13190,Petrol,Automatic,First,0.0 kmpl,1950 CC,181.43 bhp,5.0,49.49 Lakh,38.99
549,BMW X1 sDrive 20d xLine,Coimbatore,2017,31645,Diesel,Automatic,First,20.68 kmpl,1995 CC,190 bhp,5.0,48.18 Lakh,29.4
555,Maruti Ertiga ZDI,Pune,2013,105000,Diesel,Manual,Second,25.47 kmpl,1248 CC,88.50 bhp,7.0,12.34 Lakh,6.75
558,Skoda Rapid 1.5 TDI Style,Hyderabad,2017,31000,Diesel,Manual,First,21.13 kmpl,1498 CC,108.4 bhp,5.0,15.38 Lakh,10.5
562,Toyota Innova Crysta 2.8 GX AT,Ahmedabad,2016,100200,Diesel,Automatic,First,11.36 kmpl,2755 CC,171.5 bhp,7.0,19.21 Lakh,17.0
568,Jeep Compass 2.0 Limited,Jaipur,2018,29000,Diesel,Manual,First,17.1 kmpl,1956 CC,170 bhp,5.0,22.95 Lakh,19.0
573,Mahindra Bolero ZLX,Jaipur,2012,105000,Diesel,Manual,Second,15.96 kmpl,2523 CC,62.1 bhp,7.0,11.15 Lakh,6.0
578,Volkswagen Polo 1.5 TDI Highline,Coimbatore,2018,33558,Diesel,Manual,First,20.14 kmpl,1498 CC,88 bhp,5.0,10.32 Lakh,8.12
599,Toyota Innova Crysta 2.8 ZX AT,Coimbatore,2019,40674,Diesel,Automatic,First,11.36 kmpl,2755 CC,171.5 bhp,7.0,28.05 Lakh,24.82
603,Mercedes-Benz GLC 220d 4MATIC Style,Mumbai,2018,10003,Diesel,Automatic,First,17.9 kmpl,2143 CC,170 bhp,5.0,59.77 Lakh,48.5
604,Volkswagen Vento 1.5 TDI Highline AT,Mumbai,2016,25000,Diesel,Automatic,First,21.5 kmpl,1498 CC,108.5 bhp,5.0,15.86 Lakh,9.45
615,Toyota Innova Crysta 2.4 GX MT 8S,Hyderabad,2017,52000,Diesel,Manual,First,13.68 kmpl,2393 CC,147.8 bhp,8.0,19.43 Lakh,17.5
618,Maruti Vitara Brezza ZDi,Pune,2016,21558,Diesel,Manual,First,24.3 kmpl,1248 CC,88.5 bhp,5.0,10.65 Lakh,8.9
632,Mini Cooper 5 DOOR D,Mumbai,2016,11000,Diesel,Automatic,First,20.7 kmpl,1496 CC,113.98 bhp,5.0,42.12 Lakh,29.5
635,Tata Safari Storme VX Varicor 400,Jaipur,2017,37000,Diesel,Manual,First,14.1 kmpl,2179 CC,154 bhp,7.0,16.95 Lakh,11.25
636,Honda BR-V i-DTEC VX MT,Kochi,2017,32249,Diesel,Manual,First,21.9 kmpl,1498 CC,98.6 bhp,7.0,15.45 Lakh,10.79
639,Maruti Ignis 1.2 Alpha,Mumbai,2017,7000,Petrol,Manual,First,20.89 kmpl,1197 CC,81.80 bhp,5.0,7.87 Lakh,5.7
654,Maruti Alto K10 VXI,Bangalore,2011,64357,Petrol,Manual,First,24.07 kmpl,998 CC,67.1 bhp,5.0,4.7 Lakh,2.75
657,Honda BRV i-VTEC V CVT,Mumbai,2017,18000,Petrol,Automatic,First,16.0 kmpl,1497 CC,117.3 bhp,7.0,15.02 Lakh,9.25
668,Maruti Vitara Brezza ZDi Plus Dual Tone,Coimbatore,2017,18108,Diesel,Manual,First,24.3 kmpl,1248 CC,88.5 bhp,5.0,12.56 Lakh,11.31
671,Nissan Sunny XV CVT,Kochi,2013,37199,Petrol,Automatic,First,17.5 kmpl,1498 CC,99.6 bhp,5.0,11.33 Lakh,5.43
697,Toyota Innova Crysta 2.4 ZX MT,Bangalore,2017,64798,Diesel,Manual,First,13.68 kmpl,2393 CC,147.8 bhp,7.0,26.45 Lakh,18.75
714,Maruti Dzire AMT ZXI Plus,Hyderabad,2017,13000,Petrol,Automatic,First,22.0 kmpl,1197 CC,81.80 bhp,5.0,10.34 Lakh,8.5
731,Hyundai Grand i10 1.2 CRDi Magna,Kolkata,2017,14000,Diesel,Manual,First,24.0 kmpl,1186 CC,73.97 bhp,5.0,7.46 Lakh,4.9
732,Honda City i-VTEC V,Delhi,2014,55818,Petrol,Manual,Second,17.4 kmpl,1497 CC,117.3 bhp,5.0,11.85 Lakh,5.7
741,Maruti Ertiga VDI,Ahmedabad,2017,63939,Diesel,Manual,First,25.47 kmpl,1248 CC,88.50 bhp,7.0,10.41 Lakh,7.75
742,Maruti Celerio VXI AMT,Delhi,2014,35214,Petrol,Automatic,Second,23.1 kmpl,998 CC,67.04 bhp,5.0,5.57 Lakh,3.2
746,Mini Cooper 5 DOOR D,Hyderabad,2014,60000,Diesel,Automatic,Second,20.7 kmpl,1496 CC,113.98 bhp,5.0,42.48 Lakh,23.5
750,Honda City i-VTEC CVT VX,Bangalore,2015,18955,Petrol,Automatic,First,18.0 kmpl,1497 CC,117.3 bhp,5.0,16.04 Lakh,10.65
756,Honda Jazz VX,Kochi,2018,20024,Petrol,Manual,First,18.2 kmpl,1199 CC,88.7 bhp,5.0,9.1 Lakh,8.46
762,Ford Figo Titanium Diesel,Kolkata,2015,72035,Diesel,Manual,First,25.5 kmpl,1498 CC,99 bhp,5.0,7.65 Lakh,2.5
784,Hyundai Creta 1.6 SX,Ahmedabad,2016,21000,Petrol,Manual,First,15.8 kmpl,1591 CC,121.3 bhp,5.0,13.74 Lakh,10.9
791,Maruti Wagon R VXI,Coimbatore,2015,72599,Petrol,Manual,First,22.5 kmpl,998 CC,67.04 bhp,5.0,5.72 Lakh,4.32
796,Mahindra XUV500 W9 AT,Coimbatore,2019,19654,Diesel,Automatic,First,14.0 kmpl,2179 CC,155 bhp,7.0,21.33 Lakh,17.63
802,Mercedes-Benz GLE 250d,Mumbai,2016,21000,Diesel,Automatic,First,17.9 kmpl,2143 CC,201.15 bhp,5.0,78.76 Lakh,56.0
809,Honda Amaze VX Diesel,Hyderabad,2018,12000,Diesel,Manual,First,27.4 kmpl,1498 CC,98.6 bhp,5.0,10.34 Lakh,8.5
813,Maruti Alto K10 LXI,Pune,2014,49000,Petrol,Manual,First,24.07 kmpl,998 CC,67.1 bhp,5.0,4.29 Lakh,2.3
825,Volkswagen Ameo 1.5 TDI Highline,Mumbai,2017,51000,Diesel,Manual,First,21.66 kmpl,1498 CC,108.62 bhp,5.0,10.04 Lakh,6.45
838,Mahindra Xylo H4,Chennai,2016,215000,Diesel,Manual,First,14.02 kmpl,2179 CC,118.3 bhp,7.0,11.67 Lakh,7.5
850,Toyota Innova Crysta 2.4 ZX MT,Pune,2017,43200,Diesel,Manual,First,13.68 kmpl,2393 CC,147.8 bhp,7.0,25.52 Lakh,18.6
869,Hyundai Xcent 1.2 CRDi S,Jaipur,2018,25302,Diesel,Manual,First,25.4 kmpl,1186 CC,73.97 bhp,5.0,8.56 Lakh,5.9
875,Toyota Innova Crysta 2.8 ZX AT,Kochi,2018,41736,Diesel,Automatic,First,11.36 kmpl,2755 CC,171.5 bhp,7.0,27 Lakh,19.92
878,Renault KWID 1.0 RXT Optional,Jaipur,2017,63262,Petrol,Manual,First,21.7 kmpl,999 CC,67 bhp,5.0,4.78 Lakh,3.25
880,Maruti Celerio VXI Optional AMT,Pune,2017,7500,Petrol,Automatic,First,23.1 kmpl,998 CC,67.04 bhp,5.0,6.14 Lakh,5.0
884,Maruti Dzire VXI,Kolkata,2011,46687,Petrol,Manual,First,22.0 kmpl,1197 CC,81.80 bhp,5.0,7.3 Lakh,2.7
897,Datsun redi-GO T Option,Bangalore,2016,20487,Petrol,Manual,First,22.7 kmpl,799 CC,53.64 bhp,5.0,4.37 Lakh,2.66
912,Maruti Eeco 7 Seater Standard,Coimbatore,2012,56661,Petrol,Manual,First,15.1 kmpl,1196 CC,73 bhp,7.0,4.98 Lakh,3.61
919,Honda City i-VTEC CVT VX,Mumbai,2015,30000,Petrol,Automatic,First,18.0 kmpl,1497 CC,117.3 bhp,5.0,15.29 Lakh,8.65
940,Jeep Compass 2.0 Limited 4X4,Mumbai,2017,52000,Diesel,Manual,First,16.3 kmpl,1956 CC,170 bhp,5.0,24.26 Lakh,20.0
941,Land Rover Range Rover Evoque 2.0 TD4 HSE Dynamic,Kochi,2018,31427,Diesel,Automatic,First,15.68 kmpl,1999 CC,177 bhp,5.0,75.12 Lakh,59.72
942,Maruti Baleno Alpha Diesel,Kolkata,2016,29000,Diesel,Manual,First,27.39 kmpl,1248 CC,74 bhp,5.0,9.53 Lakh,6.5
946,Mitsubishi Pajero Sport 4X4,Bangalore,2013,132000,Diesel,Manual,First,13.5 kmpl,2477 CC,175.56 bhp,7.0,34.6 Lakh,12.49
952,Toyota Innova Crysta 2.4 ZX MT,Coimbatore,2018,92056,Diesel,Manual,First,13.68 kmpl,2393 CC,147.8 bhp,7.0,26.45 Lakh,18.39
954,Honda Jazz VX Diesel,Mumbai,2016,38000,Diesel,Manual,First,27.3 kmpl,1498 CC,98.6 bhp,5.0,11.15 Lakh,6.21
962,Mercedes-Benz C-Class Progressive C 220d,Mumbai,2018,8682,Diesel,Automatic,First,0.0 kmpl,1950 CC,194 bhp,5.0,52.26 Lakh,39.5
984,BMW 5 Series 520d Luxury Line,Mumbai,2012,61240,Diesel,Automatic,First,22.48 kmpl,1995 CC,190 bhp,5.0,70.43 Lakh,17.5
1001,Renault KWID RXT Optional,Hyderabad,2018,1900,Petrol,Manual,First,25.17 kmpl,799 CC,53.3 bhp,5.0,4.8 Lakh,4.45
1010,Ford Ecosport Signature Edition Diesel,Coimbatore,2019,23154,Diesel,Manual,First,23.0 kmpl,1498 CC,98.96 bhp,5.0,12.12 Lakh,11.65
1012,Toyota Innova Crysta 2.4 GX MT,Chennai,2017,67489,Diesel,Manual,First,13.68 kmpl,2393 CC,147.8 bhp,7.0,19.37 Lakh,16.5
1017,Volkswagen Vento 1.5 TDI Comfortline,Coimbatore,2014,56658,Diesel,Manual,First,20.64 kmpl,1498 CC,108.5 bhp,5.0,12.14 Lakh,5.39
1030,Toyota Fortuner 2.8 4WD MT,Kochi,2013,105072,Diesel,Manual,First,14.24 kmpl,2755 CC,174.5 bhp,7.0,36.69 Lakh,13.28
1039,Jeep Compass 1.4 Limited Option,Mumbai,2017,4000,Petrol,Automatic,First,16.0 kmpl,1368 CC,160 bhp,5.0,23.68 Lakh,17.75
1044,Audi A4 35 TDI Technology,Hyderabad,2015,45000,Diesel,Automatic,First,18.25 kmpl,1968 CC,187.74 bhp,5.0,55.61 Lakh,25.0
1050,Ford EcoSport 1.5 Petrol Titanium Plus AT,Coimbatore,2018,18385,Petrol,Automatic,First,14.8 kmpl,1497 CC,121.36 bhp,5.0,14.1 Lakh,12.41
1056,Maruti S-Cross Zeta DDiS 200 SH,Coimbatore,2016,74611,Diesel,Manual,First,25.1 kmpl,1248 CC,88.5 bhp,5.0,13.26 Lakh,7.94
1065,Toyota Innova Crysta 2.8 ZX AT,Bangalore,2016,108000,Diesel,Automatic,First,11.36 kmpl,2755 CC,171.5 bhp,7.0,28.05 Lakh,20.5
1072,Maruti Ertiga VDI,Pune,2016,130000,Diesel,Manual,First,25.47 kmpl,1248 CC,88.50 bhp,7.0,11.27 Lakh,7.0
1077,Maruti Vitara Brezza ZDi Plus,Kochi,2019,34688,Diesel,Manual,First,24.3 kmpl,1248 CC,88.5 bhp,5.0,11.2 Lakh,10.49
1080,Tata Zest Revotron 1.2 XT,Mumbai,2014,40000,Petrol,Manual,First,17.57 kmpl,1193 CC,88.7 bhp,5.0,8.56 Lakh,3.95
1094,Maruti Vitara Brezza VDi,Kolkata,2017,35000,Diesel,Manual,First,24.3 kmpl,1248 CC,88.5 bhp,5.0,9.46 Lakh,6.5
1096,Mahindra XUV300 W8 Diesel,Chennai,2012,97000,Diesel,Manual,First,20.0 kmpl,1497 CC,115 bhp,5.0,12.79 Lakh,7.25
1097,Hyundai Verna CRDi 1.6 SX Option,Kochi,2014,89614,Diesel,Manual,First,22.0 kmpl,1582 CC,126.2 bhp,5.0,15.57 Lakh,6.01
1103,Tata Hexa XT,Delhi,2017,55000,Diesel,Manual,First,17.6 kmpl,2179 CC,153.86 bhp,7.0,19.86 Lakh,12.0
1110,Tata Tiago 1.2 Revotron XZ,Coimbatore,2018,9565,Petrol,Manual,First,23.84 kmpl,1199 CC,84 bhp,5.0,6.59 Lakh,5.88
1113,Mercedes-Benz E-Class E 220 d,Kochi,2018,20446,Petrol,Automatic,First,12.6 kmpl,1950 CC,191.34 bhp,5.0,86.97 Lakh,51.35
1117,Mini Cooper 5 DOOR D,Ahmedabad,2014,34000,Diesel,Automatic,First,20.7 kmpl,1496 CC,113.98 bhp,5.0,42.12 Lakh,22.0
1139,Hyundai Grand i10 1.2 Kappa Magna,Delhi,2017,8471,Petrol,Manual,First,18.9 kmpl,1197 CC,81.86 bhp,5.0,6.54 Lakh,5.0
1140,Toyota Innova Crysta 2.8 ZX AT,Hyderabad,2016,69000,Diesel,Automatic,First,11.36 kmpl,2755 CC,171.5 bhp,7.0,26.56 Lakh,19.75
1141,Renault Duster 110PS Diesel RxZ AMT,Coimbatore,2017,30090,Diesel,Automatic,First,19.6 kmpl,1461 CC,108.45 bhp,5.0,15.05 Lakh,11.44
1146,Mahindra Bolero ZLX,Mumbai,2016,40448,Diesel,Manual,First,15.96 kmpl,2523 CC,62.1 bhp,7.0,11.01 Lakh,3.5
1147,Maruti Vitara Brezza ZDi,Coimbatore,2018,64456,Diesel,Manual,First,24.3 kmpl,1248 CC,88.5 bhp,5.0,11 Lakh,10.46
1149,Honda Amaze S Petrol,Kochi,2016,51672,Petrol,Manual,First,19.5 kmpl,1199 CC,88.76 bhp,5.0,7.55 Lakh,5.68
1157,Hyundai Grand i10 1.2 Kappa Asta,Hyderabad,2017,20000,Petrol,Manual,First,18.9 kmpl,1197 CC,81.86 bhp,5.0,7.82 Lakh,5.98
1159,Hyundai Grand i10 1.2 Kappa Magna,Kochi,2018,50234,Petrol,Manual,First,18.9 kmpl,1197 CC,81.86 bhp,5.0,6.32 Lakh,4.77
1187,Hyundai Verna VTVT 1.6 AT SX Option,Mumbai,2015,40600,Petrol,Automatic,First,17.0 kmpl,1591 CC,121.3 bhp,5.0,15.14 Lakh,7.2
1188,Hyundai Verna CRDi 1.6 AT SX Option,Ahmedabad,2013,87000,Diesel,Automatic,First,22.0 kmpl,1582 CC,126.2 bhp,5.0,15.72 Lakh,5.9
1192,Volvo S60 D4 Momentum,Hyderabad,2015,51000,Diesel,Automatic,First,27.03 kmpl,1969 CC,190 bhp,5.0,45.67 Lakh,25.0
1195,BMW 3 Series 320d Luxury Line,Chennai,2012,65000,Diesel,Automatic,First,22.69 kmpl,1995 CC,190 bhp,5.0,54.7 Lakh,14.0
